source_path,roles,detection_evidence,status,status_evidence,run_id,initial_state_recipe_id,non_full_field_data_id,portable_handling,notes
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku0.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L3,run-ku-critical-r8r4-ku0,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku10k.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L5,run-ku-critical-r8r4-ku10k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku20k.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L6,run-ku-critical-r8r4-ku20k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku30k.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L7,run-ku-critical-r8r4-ku30k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku40k.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L8,run-ku-critical-r8r4-ku40k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku50k.mx3,direct_loader,mx3.m_loadfile@L44,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L9,run-ku-critical-r8r4-ku50k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku52k.mx3,direct_loader,mx3.m_loadfile@L46,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L10,run-ku-critical-r8r4-ku52k,init-analytic-axisz-r8r4,N/A,literal_transform,Active Ku-critical sweep leaf.
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku55k.mx3,direct_loader,mx3.m_loadfile@L46,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L11,run-ku-critical-r8r4-ku55k,init-analytic-axisz-r8r4,N/A,literal_transform,"Active Ku-critical sweep leaf. The cited table records fit_failed; active is a delivery obligation, not a PASS claim."
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku56k.mx3,direct_loader,mx3.m_loadfile@L46,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L12,run-ku-critical-r8r4-ku56k,init-analytic-axisz-r8r4,N/A,literal_transform,"Active Ku-critical sweep leaf. The cited table records fit_failed; active is a delivery obligation, not a PASS claim."
04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/R8r4_Ku57k.mx3,direct_loader,mx3.m_loadfile@L46,active,04_frustrated_fm_foundation/20260105_frustrated_fm/anisotropy_study/ku_critical_sweep/results/survival_table.txt:L13,run-ku-critical-r8r4-ku57k,init-analytic-axisz-r8r4,N/A,literal_transform,"Active Ku-critical sweep leaf. The cited table records fit_failed; active is a delivery obligation, not a PASS claim."
